Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CT126020141411468","","OUT OF SCHOOL TIME OPTION II PUBLIC PRIVATE NYC","4","62344","62344","62343.84","COALITION FOR HISPANIC FAMILY SERVICES","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","06/30/2014","12/31/2013","26013X0064CNVN002","26014200027C","Non-M/WBE"
"CT126020151403167","","Out of School Time Option II Public Private NYC","2","62343.85","62343.85","62341.2","COALITION FOR HISPANIC FAMILY SERVICES","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2014","06/30/2015","08/20/2014","26015200027D","","Non-M/WBE"
"CT182620141423836","","LABORATORY INSTRUMENT (QUAATRO 39)","1","62342","62342","62342","SEAL ANALYTICAL, INC.","No","N/A","Department of Environmental Protection","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","CAPITAL PURCHASED EQUIPMENT","Goods","05/05/2014","09/05/2014","05/19/2014","C400322","","Non-M/WBE"
"CT107220131425427","","HP PRINTERS","1","62339.2","62339.2","62339.2","CORPORATE COMPUTER SOLUTIONS INC","No","N/A","Department of Correction","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","CAPITAL PURCHASED EQUIPMENT","Goods","05/30/2013","09/30/2013","05/24/2013","2-0405-0142-2013","","Women"
"CT106920141415500","","HCSP AUDITS FOR FY 2012-2014","3","62307","62307","20365","TOSKI & CO., CPAs, P.C.","No","N/A","Department of Social Services","CONSULTANT","RFP FROM A PQVL","HOME CARE SERVICES","Professional Services","01/01/2014","12/31/2016","01/30/2014","09610P0026015","06914H075313","Non-M/WBE"
"CT180620151407697","","INTUATIVE VOICE RESPONSE SYSTEM","1","62296.06","62296.06","62296.06","ABRAHAMS CONSULTING LLC","No","N/A","Housing Preservation and Development","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","CAPITAL PURCHASED EQUIPMENT","Goods","09/29/2014","06/30/2015","10/22/2014","806151000315","","Black American"
"CT182720131422891","","HP TONER CARTRIDGES","1","62216.6","62216.6","62216.6","ASI SYSTEM INTEGRATION INC","No","N/A","Department of Sanitation","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","DATA PROCESSING SUPPLIES","Goods","04/22/2013","06/30/2013","04/04/2013","0213201301","","Asian American"
"CT105720151403035","007","Slab on grade remediation","1","62207","62207","0","Uretek Holdings, Inc.","Yes","ZHL GROUP INC","Fire Department","REQUIREMENTS","COMPETITIVE SEALED BIDDING","","Construction Services","06/01/2015","12/31/2015","10/03/2014","","","Non-M/WBE"
"CT126020140000800","","Community Services Block Grant/RFP","4","62206","62206","60055.63","CHINESE-AMERICAN PLANNING COUNCIL INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","06/13/2013","26009P0340CNVN002","26014830301A","Non-M/WBE"
"CT126020140000635","","Community Services Block Grant / RFP","4","62206","62206","62205.23","HENRY STREET SETTLEMENT","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","07/08/2013","26009P0442CNVN002","26014830307A","Non-M/WBE"
"CT126020140002126","","Community Services Block Grant/RFP","4","62206","62206","62072.13","Apex for Youth, Inc","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","06/15/2013","26009P0168CNVN002","260830300A","Non-M/WBE"
"CT112720131406452","","RIVERBED SUPPORT MAINTENANCE","1","62197.31","62197.31","62197.31","COMPULINK TECHNOLOGIES INC","No","N/A","Financial Information Services Agency","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCH - IT- 25 K TO 100K","DATA PROCESSING EQUIPMENT MAINTENANCE","Goods","01/01/2013","12/31/2013","10/02/2012","127FY1300044","","Hispanic American"
"CT126020140000869","","Community Services Block Grant/RFP","3","62123","62123","62005.85","COUNCIL OF JEWISH ORG OF FLAT- BUSH INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","06/14/2013","26009P0162CNVN002","26014821404A","Non-M/WBE"
"CT126020150000231","","Neighborhood Development Program","4","58211","62099","45617.32","SOUTH BRONX OVERALL ECONOMIC DEVELOPMENT CORPORATION","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","05/22/2014","26015810202B","","Non-M/WBE"
"CT185720155402073","","TO PROCURE PICKUP TRUCK 4X4, 8500 GVW, FORD F250 FOR DSNY","1","62038.96","62038.96","0","TOWER FORD INC","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","SUPPLIES/MATERIALS/EQUIPMENT","BUY AGAINST","MOTOR VEHICLES","Goods","02/24/2015","07/31/2015","02/27/2015","8571000734","1500432/1500160","Non-M/WBE"
"CT184620141406590","003","Rubber Material for Safety Surface","2","62000","62000","62000","MITCHELL RUBBER PRODUCTS","Yes","QUIGG DEVELOPMENT","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Goods","05/01/2014","10/19/2014","10/04/2013","","","Non-M/WBE"
"CT106920141407816","","UNDERCOVER TRAINING FOR PEACE OFFICERS FOR AREA","6","62000","62000","34800","HOMEFRONT PROTECTIVE GROUP INC","No","N/A","Department of Social Services","REQUIREMENTS-SERVICES","SM PURCH GOODS SERVICES 100K","TRAINING PRGM CITY EMPLOYEES","Standardized Services","10/15/2013","06/30/2016","10/23/2013","14SPEIR00401","","Non-M/WBE"
"CT112720140002206","","ATTACHMATE MAINTENANCE RENEWAL FY'14","1","61995.14","61995.14","61995.14","SHI INTERNATIONAL CORP","No","N/A","Financial Information Services Agency","WORK/LABOR","SMALL PURCH - IT- 25 K TO 100K","DATA PROCESSING EQUIPMENT MAINTENANCE","Standardized Services","07/01/2013","06/30/2014","06/19/2013","127FY1400030","","Non-M/WBE"
"CT126020140000861","","Community Services Block Grant/RFP","7","61994","61994","59024.75","CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NY","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","06/15/2013","26009P0369CNVN002","26014831000A","Non-M/WBE"
"CT110220141420917","","CM ULRICH DO LEASE 115 06 BEACH CHANNEL DRIVE STE 103","4","61981.72","61981.72","17051.12","PATRICIA GORMAN","No","N/A","City Council","MISCELLANEOUSPROPERTYRENTAL","LESSEE NEGOTIATION","RENTALS - LAND BLDGS & STRUCTS","Not Classified","01/01/2014","12/31/2017","03/26/2014","10220142023770","","Individuals and Others"
"CT182620131425638","","ROV FOR INSPECTIONS","1","61980","61980","61980","JW FISHERS MFG INC","No","N/A","Department of Environmental Protection","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","EQUIPMENT GENERAL","Goods","05/31/2013","06/30/2013","05/28/2013","3010237","","Non-M/WBE"
"CT107220151403830","","TECHNOLOGY EQUIPMENT","2","61963","61963","0","ONLY THE BEST FOR LESS INC","No","N/A","Department of Correction","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","PURCH DATA PROCESSING EQUIPT","Goods","09/20/2014","06/30/2015","08/27/2014","2-0405-0049-15","","Black American"
"CT181620140003259","","Emergency & Portable Generator & Assoc Pumps Maint & Repair","5","61960","61960","49034.22","NATIONAL GRID ENERGY MANAGE- MENT","No","N/A","Department of Health and Mental Hygiene","WORK/LABOR","RENEWAL OF CONTRACT","MAINTENANCE SUPPLIES, MAINT & REP GENERAL","Standardized Services","10/01/2013","09/30/2014","07/12/2013","81610B0014001R001","","Non-M/WBE"
"CT181620151402582","","Emergency and Portable Generator maintenance and repair serv","1","61960","61960","13136.82","NATIONAL GRID ENERGY MANAGE- MENT","No","N/A","Department of Health and Mental Hygiene","WORK/LABOR","RENEWAL OF CONTRACT","MAINT & REP GENERAL","Standardized Services","10/01/2014","09/30/2015","08/14/2014","81610B0014001R002","","Non-M/WBE"
"CT182620141428308","003","Assist in coordination w rail agencies and other utilities; Review GI site locations such as ROWBs, SGSs and other GI practices recommended for design. Review designs for compliance with current regulatory and permit approvals such as CEQR.","1","61937","61937","0","NOVA CONSULTING ENGINEERING LLC","Yes","OVE ARUP & PARTNERS","Department of Environmental Protection","CONSTRUCTION","REQUEST FOR  PROPOSAL (RFP)","","Arch and Engineering","12/20/2014","07/01/2017","06/30/2014","","","Hispanic American"
