Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CT184620141410456","006","Color seal coat system","1","6080","6080","0","UNITED PAVEMENT MARKING INC","Yes","D GANGI CONTRACTING - J PIZZIRUSSO LANDSCAPING JV","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","09/15/2014","09/30/2014","12/20/2013","6","","Non-M/WBE"
"CT184620141401712","","101116846  NONCONTRACT PAINT","1","6065.6","6065.6","6065.6","MERCURY PAINT CORP","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","MAINTENANCE SUPPLIES","Goods","08/05/2013","06/30/2014","08/05/2013","101116846","","Non-M/WBE"
"CT184620131426720","","95141846/ASSORTED TREES, SRUBS AND PERENNIALS","1","6042.5","6042.5","5951.5","PRIDES CORNER FARMS INC","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","SUPPLIES + MATERIALS - GENERAL","Goods","05/20/2013","06/30/2013","05/20/2013","95241846A","","Non-M/WBE"
"CT122620131423334","","BENEFIT LOG ADJUSTMENTS AND MAINTENANCE","1","6030","6030","6030","ICT-ENABLE TECHNOLOGY, INC","No","N/A","Commission on Human Rights","CONSULTANT","SMALL PURCHASE - INFO TECH","PROF SERV COMPUTER SERVICES","Professional Services","04/11/2013","04/11/2013","04/04/2013","04042013","","Non-M/WBE"
"CT184620131420841","","91629846 RAKES","2","6022.49","6022.49","0","GHC SPECIALTY BRANDS, LLC","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","MAINTENANCE SUPPLIES","Goods","03/07/2013","06/30/2013","03/12/2013","91629846","","Non-M/WBE"
"CT184620141410186","","106742846 - 106744846 - SUPPLIES AND MATERIALS","1","6018.5","6018.5","6018.5","FRED C GLOECKNER CO INC","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","SUPPLIES + MATERIALS - GENERAL","Goods","11/15/2013","06/30/2014","11/01/2013","106742846A","","Non-M/WBE"
"CT184620151416852","","131396846 - REBARS","1","6015.42","6015.42","6015.42","EDSAL MACHINE PRODUCTS INC.","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","MAINTENANCE SUPPLIES","Goods","02/06/2015","06/30/2015","02/03/2015","131396846","","Non-M/WBE"
"CTA185020147205491","","Soundview Branch Library HVAC Replacement","1","6010","6010","0","TECTONIC ENGINEERING & SURVEYING CONSULTANTS P C","No","N/A","Department of Design and Construction","CONSTRUCTION","MULTIPLE AWARDS","DESIGN-CONSULTANT-BUILDINGS","Construction Services","04/11/2014","10/07/2014","04/23/2014","85012P0022002","","Non-M/WBE"
"CT184620151410293","","127342846-PARKS FLAGS","1","6010","6010","6010","JOANNE FRANKLIN INC","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","SUPPLIES + MATERIALS - GENERAL","Goods","10/30/2014","06/30/2015","11/10/2014","127342846","","Women"
"CT185020131420391","","DIGITAL CAMERAS AND ACCESSORIES","1","6001.66","6001.66","6001.66","FOCUS CAMERA LLC","No","N/A","Department of Design and Construction","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","PURCH DATA PROCESSING EQUIPT","Goods","03/01/2013","06/30/2013","03/01/2013","2013-202-2368","","Non-M/WBE"
"CT184620141405525","012","roofing Installation","1","6000","6000","0","Mortelliti Contractors, Inc.","Yes","AR BROTHERS CONSTRUCTION CORP","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","03/03/2015","03/11/2015","09/30/2013","57-1225994","","Non-M/WBE"
"CT105720151411403","","DISCRETIONARY AWARD FOR DELIVERY OF EMERGENCY SVC.","1","6000","6000","6000","GLEN OAKS VOLUNTEER AMBULANCE CORPS","No","N/A","Fire Department","WORK/LABOR","SM PURCHASE COUNCIL & BP NEEDS","SUPPLIES + MATERIALS - GENERAL","Human Services","07/01/2014","06/30/2015","11/24/2014","057150000929","","Non-M/WBE"
"CT126020151400721","","To support a college readiness program.","1","6000","6000","5730","ATLED INC","No","N/A","Department of Youth and Community Development","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","06/30/2014","09/18/2014","26014042271L","","Non-M/WBE"
"CT184620141425177","","115683846 BLANKET ORDER FOR NURSERY SUPPLIES","3","6000","6000","4450.99","GRIFFIN GREENHOUSE  SUPPLIES","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","SUPPLIES + MATERIALS - GENERAL","Goods","05/09/2014","06/30/2014","05/14/2014","115683846","","Non-M/WBE"
"CT126020151424191","","Funds will support the Weinberg Center for Balanced Living","1","6000","6000","1020","THE EDUCATIONAL ALLIANCE INC","No","N/A","Department of Youth and Community Development","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","05/21/2015","26015039035M","","Non-M/WBE"
"CT126020151417851","","To be used for operational, administrative & programing cost","1","6000","6000","6000","TAIWAN CENTER","No","N/A","Department of Youth and Community Development","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2014","06/30/2015","03/06/2015","26015042519M","","Non-M/WBE"
"CT126020151412496","","Funds will be used to purchase all materials","1","6000","6000","5730","WHERE THERE'S A NEED INC","No","N/A","Department of Youth and Community Development","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","12/02/2014","26015048185M","","Non-M/WBE"
"CT126020151422234","","For purchasing office supplies, advertisement of events via","1","6000","6000","5730","71ST PRECINT COMMUNITY COUNCIL INC.","No","N/A","Department of Youth and Community Development","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","04/07/2015","26015068063M","","Non-M/WBE"
"CT126020151416144","","Funding to provide lectures on smoking, abuse of drugs","1","6000","6000","5730","HOLOCAUST SURVIVORS CHARITY, INC","No","N/A","Department of Youth and Community Development","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","02/20/2015","26015L0271001","26015028632M","Non-M/WBE"
"CT126020141422999","","Support programs to increase low income New Yorkers","1","6000","6000","6000","NEW YORK CITY COALITION AGAINST HUNGER, INC.","No","N/A","Department of Youth and Community Development","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","04/29/2014","26014L0429001","26014038180L","Non-M/WBE"
