Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"MA185720141202762","","TO PROCURE COMMISSARY ITEMS FOR DOC","1","1118790","1118790","1109142.79","REGAL TRADING INC","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","DMS-REQUIREMENTSCONTRACT(RC)","ACCELERATED PROCUREMENT","","Goods","04/07/2014","04/06/2017","04/16/2014","85714B0112","1400073/3487158","Non-M/WBE"
"CT181620141417551","","HOPWA PERMANENT SUPPORTIVE HOUSING POPULATION A","5","1118750","1118750","554654.22","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC","No","N/A","Department of Health and Mental Hygiene","PROGRAMS","REQUEST FOR  PROPOSAL (RFP)","CONTRACTUAL SERVICES GENERAL","Human Services","10/01/2013","06/30/2016","02/18/2014","81611P0023016","","Non-M/WBE"
"CTA180120157202372","","Hurricane Sandy Electrical Repair around locations of BNY","1","1118296.81","1118296.81","1118296.81","BROOKLYN NAVY YARD DEVELOPMENT CORPORATION","No","N/A","Department of Small Business Services","CONSTRUCTION","COMPETITIVE SEALED BIDDING","IOTB CONSTRUCTION","Construction Services","01/31/2014","01/31/2015","01/02/2015","80114S0001001","801SBS140003","Non-M/WBE"
"CT107220151400182","","Cleaning and Janitorial Services  at HMD and CA.","7","1116051.59","1116051.59","620680.62","NEW YORK STATE INDUSTRIES FOR THE DISABLED INC","No","N/A","Department of Correction","WORK/LABOR","DETERMINED BY GOV'T MANDATE","CLEANING SERVICES","Standardized Services","09/01/2013","08/31/2016","09/02/2014","07214M0001001","","Non-M/WBE"
"CTA100220157202266","","Translation Services for Public Hearings Hurricane Sandy","1","1115622","1115622","37564","ACCURATE COMMUNICATION INC","No","N/A","Mayoralty","WORK/LABOR","MULTIPLE AWARDS","PROF SERV OTHER","Professional Services","10/15/2014","10/14/2017","10/31/2014","85712P0001005","","Non-M/WBE"
"CT181620150001576","","Alcoholism Services for Adults","2","1114986","1114986","267380.43","MENTAL HEALTH PROVIDERS OF WESTERN QUEENS, INC.","No","N/A","Department of Health and Mental Hygiene","PROGRAMS","DETERMINED BY GOV'T MANDATE","MENTAL HYGIENE SERVICES","Human Services","07/01/2014","06/30/2017","06/11/2014","81614M0007004","","Non-M/WBE"
"CT126020131423167","","2013 Summer Youth Employment Program RFP","35","633750","1114750","880596.17","RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK","No","N/A","Department of Youth and Community Development","PROGRAMS","REQUEST FOR  PROPOSAL (RFP)","PAYMENTS TO DELEGATE AGENCIES","Human Services","04/01/2013","03/31/2016","06/11/2013","26013P0116CNVA003","260130090902","Non-M/WBE"
"CT184120151410563","","TRANSP. & DISPOSAL SERV. FOR CONSTRUCTION WASTE MATERIAL","2","1113750","1113750","229750.44","ACTION CARTING ENVIRONMENTAL SERVICES INC","No","N/A","Department of Transportation","WORK/LABOR","RENEWAL OF CONTRACT","CONTRACTUAL SERVICES GENERAL","Standardized Services","09/10/2014","09/09/2015","11/19/2014","84112B0025001R001","84112MBSM636","Non-M/WBE"
"CT182620141410471","","BCS-RWS12 HONEYWELL- WATER, CONSERVATION SURVEY, CITYWIDE","5","761140","1113140","757499.3","HONEYWELL INTERNATIONAL INC.","No","N/A","Department of Environmental Protection","WORK/LABOR","RENEWAL OF CONTRACT","OTHR SERV AND CHRGS-GENERAL","Standardized Services","11/14/2013","11/03/2015","12/11/2013","82611B0050001C001","","Non-M/WBE"
"CT112720151402179","","IBM SERVER - FY'15 MAINTENANCE RENEWAL","2","1112650.82","1112650.82","730049.36","INTERNATIONAL BUSINESS MACHINES CORP","No","N/A","Financial Information Services Agency","WORK/LABOR","INTERGOVERNMENTAL PROCUREMENT RENEWAL","DATA PROCESSING EQUIPMENT MAINTENANCE","Professional Services","10/01/2014","09/30/2015","09/17/2014","127FY1500026","","Non-M/WBE"
