Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CT182720141400213","","MANAGEMENT, TRANSPORTATION AND DISPOSAL SERVICES.","6","2857786988","2857786988","4888216.69","Covanta Sustainable Solutions","No","N/A","Department of Sanitation","WORK/LABOR","REQUEST FOR  PROPOSAL (RFP)","MUNICIPAL WASTE EXPORT","Standardized Services","08/19/2013","02/28/2035","08/12/2013","82713P0002001","82704RR00031","Non-M/WBE"
"MMA180120146200406","","CONTRACT EXTENDED TO 12/08/214 SO THAT WORK CAN  CONTINUE.","4","1665534000","1745107624","224473433.22","NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION","No","N/A","Department of Small Business Services","OTHERS","SOLE SOURCE","","Standardized Services","07/01/2013","12/08/2014","11/26/2013","80113S0004001A001","801SBS140179","Non-M/WBE"
"CT106920141428608","","Change of ownership Office Lease space","8","1707589835.17","1707589835.17","9524972.53","VANDERBILT ASSOCIATES OWNER LP","No","N/A","Department of Social Services","LESSEE","ASSIGNMENT","RENTALS - LAND BLDGS & STRUCTS","Not Classified","02/28/2014","11/12/2032","06/30/2014","470VANDERBILT","","Individuals and Others"
"MMA180120156200826","","contract extension","2","1686097000","1686097000","10339053.61","NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION","No","N/A","Department of Small Business Services","OTHERS","SOLE SOURCE","","Standardized Services","07/01/2014","12/16/2015","12/02/2014","80114S0002001","","Non-M/WBE"
"CT106920151417944","","To register 581,642 rsf of leased space @ 4 WTC","3","577876143.72","577876143.72","17453108.7","World Trade Center Properties LLC","No","N/A","Department of Social Services","LESSEE","LESSEE NEGOTIATION","RENTALS - LAND BLDGS & STRUCTS","Not Classified","01/09/2015","01/08/2030","04/09/2015","4 WTC 2015","","Individuals and Others"
"CT181620141407891","","HIV/AIDS Master Contract","2","471000000","471000000","2136209","PUBLIC HEALTH SOLUTIONS","No","N/A","Department of Health and Mental Hygiene","PROGRAMS","RENEWAL OF CONTRACT","CONTRACTUAL SERVICES GENERAL, PROF SERV OTHER","Human Services","09/01/2013","08/31/2016","11/15/2013","81610P0042001R001","","Non-M/WBE"
"CT106820141418919","","CHILD CARE VOUCHER PAYMENT","13","418808487","469226257","469226255.67","YMS MANAGEMENT ASSOCIATES INC","No","N/A","Administration for Children's Services","WORK/LABOR","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","DAY CARE OF CHILDREN","Not Classified","05/01/2014","04/30/2015","03/27/2014","06807B0002CNVA003","","Non-M/WBE"
"MA104020149472811","","Transportation Services for Students with Disabilities","1","459960780","459960780","94181428.5","RELIANT TRANSPORTATION, INC.","No","N/A","Department of Education","DEPT OF ED-REQUIREMENT CONTRACT","COMPETITIVE SEALED BIDDING","","Standardized Services","09/01/2014","06/30/2019","12/27/2013","B2321","B232105","Non-M/WBE"
"CT106820151415996","","Child Care Voucher Payment Services","4","452677598","452677598","40000000","YMS MANAGEMENT ASSOCIATES INC","No","N/A","Administration for Children's Services","WORK/LABOR","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","DAY CARE OF CHILDREN","Not Classified","05/01/2015","04/30/2016","03/24/2015","06807B0002CNVN002","","Non-M/WBE"
"MMA185720146200361","","PROVIDE UNIFORMED ARMED SECURITY GUARDS AND/OR SUPERVISORS","2","205000000","306338941.31","79025995.43","FJC SECURITY SERVICES, INC.","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","WORK/LABOR","REQUEST FOR  PROPOSAL (RFP)","","Standardized Services","12/01/2013","11/30/2018","12/18/2013","85712P0002005A001","","Non-M/WBE"
"CT181620131412468","","Comprehensive medical & Mental Health Svcs for Correctional","29","270656452","270656452","227099568.12","CORRECTIONAL MEDICAL ASSOCIATES OF NEW YORK PC","No","N/A","Department of Health and Mental Hygiene","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","HOSPITALS CONTRACTS","Human Services","01/01/2013","12/31/2015","12/24/2012","81612N0001001","","Non-M/WBE"
