Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CT184620141425577","","116178846 - Mobile Tracking Application","2","19100","19100","19100","JOANNE FRANKLIN INC","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","DATA PROCESSING SUPPLIES","Goods","05/30/2014","06/30/2014","05/22/2014","116178846","","Women"
"CT126020151403922","","Out of School Time Elementary School Program","2","13500","19100","8230.56","SCAN NEW YORK VOLUNTEER PARENT AIDES ASSOCIATION INC.","No","N/A","Department of Youth and Community Development","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2014","06/30/2015","09/29/2014","26015124164M","","Non-M/WBE"
"CT126020141426447","","E SCHIFF, (212)676-6082, eschiff@dycd.nyc.gov","1","19087.6","19087.6","19087.6","CDW COMPUTER CENTER INC.","No","N/A","Department of Youth and Community Development","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - UNDER $5,000","PURCH DATA PROCESSING EQUIPT","Goods","05/27/2014","06/30/2014","05/27/2014","14DC1132","","Non-M/WBE"
"CT184620141420718","","113000B846 & 113162846 - GPS Mapping Equipment","1","19080","19080","19080","EASTERN HORIZON CORP","No","N/A","Department of Parks and Recreation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","PURCH DATA PROCESSING EQUIPT","Goods","04/11/2014","06/30/2014","04/07/2014","113000B846","","Black American"
"CT185820131420927","","1 year license","1","19078","19078","19078","SHI INTERNATIONAL CORP","No","N/A","Department of Information Technology and Telecommunications","WORK/LABOR","SMALL PURCHASE - INTERGOV'T","DATA PROCESSING SUPPLIES","Professional Services","05/15/2013","05/14/2014","04/03/2013","85813RQ00433","","Non-M/WBE"
"CT181620141411026","","ONE TIME DELIVERY FOR 8GB MEMORY","1","19044","19044","19044","COMPCITI BUSINESS SOLUTIONS, INC.","No","N/A","Department of Health and Mental Hygiene","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","PURCH DATA PROCESSING EQUIPT","Goods","11/14/2013","06/30/2014","11/14/2013","14R0479MJ","","Asian American"
"CT181620131418877","","MARIGOLD BRAND UTILITY LATEX GLOVES","2","19035","19035","19028.16","CG INDUSTRIAL SAFETY INC","No","N/A","Department of Health and Mental Hygiene","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","MEDICAL,SURGICAL & LAB SUPPLY","Goods","02/13/2013","06/30/2013","02/13/2013","13R0655MJ","","Women"
"CT181920151401625","","STRETCHERS","1","19006.68","19006.68","19006.68","STRYKER SALES CORPORATION","No","N/A","Health and Hospitals Corporation","REQUIREMENTS-GOODS","SMALL PURCHASE - PUBLICLY LET","CONSTRUCTION-BUILDINGS","Goods","07/18/2014","10/18/2014","07/22/2014","000000","","Non-M/WBE"
"CT112520141421366","","DISC K SUPPORT GENERAL OPERATING COSTS","2","19000","19000","19000","HOUSING OPTIONS & GERIATRIC ASSOCIATION RESOURCES INC","No","N/A","Department for the Aging","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","03/26/2014","12514DISC1N6","","Non-M/WBE"
"CT112520151420722","","SENIOR SERVICES SUPPORT, OPERATING COSTS","1","19000","19000","0","PRESTON CENTER OF COMPASSION","No","N/A","Department for the Aging","PROGRAMS","SM PURCHASE COUNCIL & BP NEEDS","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","03/20/2015","12515DISC1Z3","12515DISC1Z3","Non-M/WBE"
