Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CT178120151411021","","Young Adult Justice Program Renewal","1","323400","323400","0","THE CHILDREN'S VILLAGE","No","N/A","Department of Probation","PROGRAMS","RENEWAL OF CONTRACT","CONTRACTUAL SERVICES GENERAL","Human Services","01/01/2015","12/31/2015","12/30/2014","78111P0002009R001","","Non-M/WBE"
"CTA104220157201246","","Proj.# CC022-012- Schiff Hse Daycare Ctr. Renov. - City Coll","1","323000","323000","5000","MICHIELLI + WYETZNER ARCHITECTS","No","N/A","City University of New York","CONSTRUCTION","MULTIPLE AWARDS","DESIGN-CONSULTANT-BUILDINGS","Construction Services","09/15/2014","04/30/2015","09/29/2014","04215CC022012","","Non-M/WBE"
"CT107120151408421","","EMERGENCY SHELTER SERVICES FOR ADULT FAM'S","3","322489","322489","219913.28","ACACIA NETWORK HOUSING INC","No","N/A","Department of Homeless Services","PROGRAMS","EMERGENCY","HOMELESS FAMILY SERVICES","Human Services","05/21/2014","11/20/2014","11/10/2014","07115E0004001","","Non-M/WBE"
"CT181620151400702","","MENTAL HYGIENE PEG RESTORATION INITIATIVE","1","322000","322000","273868.39","STATEN ISLAND MENTAL HEALTH SOCIETY INC","No","N/A","Department of Health and Mental Hygiene","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","MENTAL HYGIENE SERVICES","Human Services","07/01/2014","06/30/2015","08/06/2014","81614L0054001N001","","Non-M/WBE"
"CT181620141419966","","DEVELOPMENTAL DISABILITY SERVICES","3","322000","322000","207825.79","STATEN ISLAND MENTAL HEALTH SOCIETY INC","No","N/A","Department of Health and Mental Hygiene","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","MENTAL HYGIENE SERVICES","Human Services","07/01/2013","06/30/2014","03/14/2014","81614L0054001","FY14 5292","Non-M/WBE"
"CT126020131423765","","2013 Summer Youth Employment Program RFP","24","292500","321750","235609","POLICE ATHLETIC LEAGUE NEW","No","N/A","Department of Youth and Community Development","PROGRAMS","REQUEST FOR  PROPOSAL (RFP)","PAYMENTS TO DELEGATE AGENCIES","Human Services","04/01/2013","03/31/2016","05/07/2013","260130090892","26012P0021065","Non-M/WBE"
"CT180620151409993","","Hand/Mechanical Demolition","1","321620.22","321620.22","321620.22","PERCIBALLI INDUSTRIES INC","No","N/A","Housing Preservation and Development","CONSTRUCTION","EMERGENCY","OTHR SERV AND CHRGS-GENERAL","Construction Services","06/20/2014","06/19/2015","12/23/2014","80615E0006001","","Non-M/WBE"
"CTA184120157200676","","MOSAICS RE-ENGINEERING NYCSTREETS PERMIT MNGT SYS","1","321470","321470","84872.5","PSI INTERNATIONAL INC","No","N/A","Department of Transportation","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","05/12/2014","05/11/2016","08/27/2014","0061-3-841-2504A","","Asian American"
"CT106920151415516","","1 IT Consultant for the IT Management Project","1","321305.25","321305.25","73538.01","ADIL BUSINESS SYSTEMS INC","No","N/A","Department of Social Services","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","PROF SERV COMPUTER SERVICES","Goods","08/01/2014","07/31/2017","03/02/2015","09615G0002001","15GPEMI10601","Asian American"
"MA185720151201741","","PSYCHOLOGICAL TEST AND ACCOMPANYING ANSWER SHEET FOR NYPD","1","321087","321087","0","NCS PEARSON INC","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","DMS-REQUIREMENTSCONTRACT(RC)","SOLE SOURCE","","Goods","01/01/2015","12/31/2017","01/13/2015","05614S0010001","1500010/3587051","Non-M/WBE"
