Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CTA180620147206933","","JOC for CCTV @ Soundview Houses","2","28008","27334.58","27334.58","NEW YORK CITY HOUSING AUTHORITY","No","N/A","Housing Preservation and Development","REQUIREMENTS-SERVICES","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","06/09/2014","12/31/2014","06/09/2014","806-2012-2468","","Non-M/WBE"
"CTA180620147206872","","CCTV-JOC for Security Enhancements @ Beach 41st Houses-Queen","2","28296","27329.94","27329.94","NEW YORK CITY HOUSING AUTHORITY","No","N/A","Housing Preservation and Development","REQUIREMENTS-SERVICES","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","06/09/2014","12/31/2014","06/11/2014","BEACH41ST-QUEENS","","Non-M/WBE"
"CT105720131426547","","Rescue Ropes","1","27300","27300","27300","FIRESEARCH CORPORATION","No","N/A","Fire Department","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","CAPITAL PURCHASED EQUIPMENT","Goods","05/20/2013","06/30/2013","05/30/2013","057130001313","","Non-M/WBE"
"CT126020141407115","","Provide OST for Middle School Target Bronx","4","27300","27300","27299.83","MADISON SQUARE BOYS & GIRLS CLUB INC","No","N/A","Department of Youth and Community Development","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","EDUCATION & REC FOR YOUTH PRGM","Human Services","09/01/2013","06/30/2014","10/30/2013","26014134128L","26014L0110001","Non-M/WBE"
"CT182620141418724","","LIMITORQUE OPERATOR STEM NUTS (GRP)","4","27285","27285","27285","QUALITY CONTROLS INC.","No","N/A","Department of Environmental Protection","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","EQUIPMENT GENERAL","Goods","03/10/2014","10/03/2014","03/05/2014","4012057","","Non-M/WBE"
"CT107120141418421","","BATHROOM VENTILATION INSTALL, LABOR & MATERIALS","4","27240","27240","0","RASHEL CONSTRUCTION CORP","No","N/A","Department of Homeless Services","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","MAINT & REP GENERAL","Goods","02/18/2014","06/30/2014","02/25/2014","14DHS540","","Asian American"
"CT126020141411193","","Immigration Outreach Initiative","3","27236","27236","27236","FIFTH AVENUE COMMITTEE, INC.","No","N/A","Department of Youth and Community Development","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","12/04/2013","26014L0320001","26014776141L","Non-M/WBE"
"CT182620151415789","","IP Logic Network Equipment","1","27227.32","27227.32","16727.32","IPLOGIC INC","No","N/A","Department of Environmental Protection","WORK/LABOR","INTERGOVERNMENTAL PROCUREMENT","TELECOMMUNICATIONS EQUIPMENT","Not Classified","02/09/2015","06/30/2015","02/19/2015","82615O0066001","","Non-M/WBE"
"CT181920131417321","","HENRY J. CARTER SPECIALTY HOSPITAL & NURSING FACILITY","1","27221.02","27221.02","27221.02","SODEXO OPERATIONS LLC","No","N/A","Health and Hospitals Corporation","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - PUBLICLY LET","CONSTRUCTION-BUILDINGS","Goods","01/24/2013","04/24/2013","01/24/2013","000000","","Non-M/WBE"
"CT112520141413216","","DISC K SUPPORT RICHMOND SENIOR SERVICES FOOD PANTRY","4","17250","27211","26836","RICHMOND SENIOR SERVICES INC","No","N/A","Department for the Aging","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","01/06/2014","12514L0071001A001","12514DISC5WH","Non-M/WBE"
"CT100220121404520","003","Health Information Systems Consultant","2","27200","27200","22802.33","Barry H Blumenfeld","Yes","VALUE MANAGEMENT STRATEGIES, INC.","Mayoralty","CONSULTANT","REQUEST FOR  PROPOSAL (RFP)","","Professional Services","05/13/2014","06/16/2014","08/22/2011","","","Non-M/WBE"
"CT126020141410852","","Immigration Outreach Initiative","3","27200","27200","14881.77","FEDERATION OF ITALIAN-AMERICAN ORGANIZATIONS OF BROOKLYN LTD","No","N/A","Department of Youth and Community Development","PROGRAMS","BORO NEEDS/DISCRETIONARY FUND","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2013","06/30/2014","12/02/2013","26014L0319001","26014776030L","Non-M/WBE"
"CT126020140002120","","Out of School Time Sumer Initiative","4","27200","27200","22666.32","MADISON SQUARE BOYS & GIRLS CLUB INC","No","N/A","Department of Youth and Community Development","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","EDUCATION & REC FOR YOUTH PRGM","Human Services","07/01/2013","08/31/2013","10/21/2013","26013N0060084","26014124154Z","Non-M/WBE"
"CT185620155400481","","PRINTER MAINTENENCE RENEWAL","1","27195.05","27195.05","27195.05","Ricoh Printing Systems America, Inc.","No","N/A","Department of Citywide Administrative Services","WORK/LABOR","INTERGOVERNMENTAL PROCUREMENT","DATA PROCESSING EQUIPMENT MAINTENANCE","Not Classified","06/05/2014","06/30/2015","08/25/2014","85615000222","","Non-M/WBE"
"CT181620151405387","003","ICF PO# 15REPO0020 - 152625 BIO","1","27188","27188","0","Gregg Stuart Dawkins","Yes","ICF MACRO INC","Department of Health and Mental Hygiene","CONSULTANT","REQUEST FOR  PROPOSAL (RFP)","","Professional Services","04/23/2015","12/31/2015","09/10/2014","","","Non-M/WBE"
"CTA180620147206875","","JOC for  Security Enhancements CCTV at Boulevard House","2","28260","27185.62","27185.62","NEW YORK CITY HOUSING AUTHORITY","No","N/A","Housing Preservation and Development","REQUIREMENTS-SERVICES","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","06/09/2014","12/31/2014","08/12/2014","BOULEVARD-BKLYN","","Non-M/WBE"
"CT185820141420281","","NATIONAL PUBLIC RADIO","1","27176","27176","27125.75","NATIONAL PUBLIC RADIO, INC","No","N/A","Department of Information Technology and Telecommunications","SUBSCRIPTIONS","SUBSCRIPTION ETC PER PPB","BOOKS-OTHER","Professional Services","07/01/2013","06/30/2014","04/07/2014","85814RQ00473","","Non-M/WBE"
"CT105720151403481","","MONOCULARS FOR FDNY MARINE DIVISION","1","27173","27173","27173","NIGHT VISION DEPOT INC","No","N/A","Fire Department","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","EQUIPMENT GENERAL","Goods","10/01/2014","06/30/2015","11/07/2014","057150000361","","Non-M/WBE"
"CT182620131423012","","POWER EDGE SERVER MAINT.","1","27167.18","27167.18","27167.18","CUSTOM COMPUTER SPECIALISTS INC","No","N/A","Department of Environmental Protection","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","DATA PROCESSING EQUIPMENT MAINTENANCE","Goods","04/02/2013","06/30/2013","04/26/2013","82613O0094001","","Non-M/WBE"
"CT184620141410802","","107544846 - OFFICE TRAILER FOR CITYWIDE NURSERY DIVISION","1","27160","27160","27160","CASSONE LEASING INC","No","N/A","Department of Parks and Recreation","WORK/LABOR","SM PURCH GOODS SERVICES 100K","EQUIPMENT GENERAL","Not Classified","12/13/2013","06/30/2014","12/02/2013","107544846","","Women"
"CT181620151420191","","Automotive Vehicles and Related Transportation Equipment","2","27150.98","27150.98","0","HOWELL & PIERSON INC","No","N/A","Department of Health and Mental Hygiene","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","MOTOR VEHICLES","Goods","03/02/2015","06/30/2015","04/01/2015","816-EHSD-15-2337-N00","","Non-M/WBE"
"CT181920151417360","","ASBESTOS","1","27129.66","27129.66","27129.66","PERKINS EASTMAN ARCHITECTS PC","No","N/A","Health and Hospitals Corporation","REQUIREMENTS-GOODS","SMALL PURCHASE - PUBLICLY LET","CONSTRUCTION-BUILDINGS","Goods","02/02/2015","05/04/2015","02/04/2015","000000","","Non-M/WBE"
"CT106920151409001","","Enroll Magstripe 3 Track Black USB/RFIDeas pcSwipe","1","27118","27118","27118","COMPULINK TECHNOLOGIES INC","No","N/A","Department of Social Services","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCH - IT- 25 K TO 100K","PURCH DATA PROCESSING EQUIPT","Goods","10/01/2014","06/30/2015","11/14/2014","15SGEMI15201","","Hispanic American"
"CT112520151424648","","SENIOR SERVICES SUPPORT, OPERATING COSTS","1","27116","27116","0","NORTH FLUSHING SENIOR CENTER INC","No","N/A","Department for the Aging","PROGRAMS","NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES","PAYMENTS TO DELEGATE AGENCIES","Human Services","07/01/2014","06/30/2015","05/18/2015","12514L0124001N001","12515BPBL4PR","Non-M/WBE"
"CT182020141416801","","ACRYLIC GLASS WINDOW TELLER PARTITION - ECB & HTH 66 JOHN ST","1","27104","27104","27104","SEAGULL SERVICE CORP","No","N/A","Office of Administrative Trials and Hearings","WORK/LABOR","SM PURCH GOODS SERVICES 100K","OTHR SERV AND CHRGS-GENERAL","Not Classified","01/28/2014","06/30/2014","04/16/2014","82014000000016","","Hispanic American"
"CT107220141420192","","RED HAT ENTERPRISE LINUX FOR VIRTUAL DATACENTERS","1","27056.46","27056.46","27056.46","SHI INTERNATIONAL CORP","No","N/A","Department of Correction","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCH - IT- 25 K TO 100K","CONTRACTUAL SERVICES GENERAL","Goods","05/30/2014","06/30/2014","05/15/2014","2-0405-0081-14","","Non-M/WBE"
"CT184620141405527","004","Color Seal Coating, Painted Games & Lines","1","27050","27050","0","SEALCOAT USA INC","Yes","DEBORAH BRADLEY CONSTRUCTION AND MANAGEMENT SERVICES INC","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Construction Services","06/01/2014","11/01/2015","10/04/2013","30-0309733","","Non-M/WBE"
"CT185620145401996","","REFRIGERANT - VARIOUS SIZE CYLINDERS","2","27029.16","27029.16","0","R.I.M. PLUMBING & HEATING SUPPLY","No","N/A","Department of Citywide Administrative Services","SUPPLIES/MATERIALS/EQUIPMENT","SM PURCH GOODS SERVICES 100K","MAINTENANCE SUPPLIES","Goods","02/13/2014","06/30/2014","02/28/2014","85614391035","","Women"
"CT180620151421589","","PROVISION OF TENANT COUSELING OUTREACH AND REFERRAL SERVICES","1","27027","27027","2950","HUDSON GUILD","No","N/A","Housing Preservation and Development","CONSULTANT","BORO NEEDS/DISCRETIONARY FUND","COMMUNITY CONSULTANT CONTRACTS","Professional Services","07/01/2014","06/20/2015","04/21/2015","80615L0015001","","Non-M/WBE"
"CT180620151412107","","provision of tenant counseling, outreach & referral svcs.","1","27027","27027","4800","RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC.","No","N/A","Housing Preservation and Development","CONSULTANT","BORO NEEDS/DISCRETIONARY FUND","COMMUNITY CONSULTANT CONTRACTS","Professional Services","07/01/2014","06/30/2015","12/23/2014","80615L0029001","","Non-M/WBE"
"CT180620151413179","","Provision of tenant counseling, outreach & referral svcs.","1","27027","27027","8492","CENTRAL ASTORIA LOCAL DEVELOPMENT COALITION INCORPOR","No","N/A","Housing Preservation and Development","CONSULTANT","BORO NEEDS/DISCRETIONARY FUND","COMMUNITY CONSULTANT CONTRACTS","Professional Services","07/01/2014","06/30/2015","02/03/2015","80615L0006001","","Non-M/WBE"
