Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CT182620151420074","","AUTOMOTIVE REPLACEMENT PARTS, SUPPLIES & EQUIP-5015233","1","25000","25000","20517.6","UNI-SELECT USA INC","No","N/A","Department of Environmental Protection","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - INTERGOV'T","AUTOMOTIVE SUPPLIES & MATERIAL","Goods","03/01/2015","06/30/2015","03/06/2015","82615O0095001","","Non-M/WBE"
"CT104020143047257","","3 BIDS-SERVICES","1","25000","25000","24000","ALIGNED LEARNING AND LEADERSHIP CONSULTING LLC","No","N/A","Department of Education","REQUIREMENTS-SERVICES","SMALL PURCHASE - WRITTEN","PROF SERV CURRIC & PROF DEVEL","Not Classified","04/04/2014","06/30/2014","04/04/2014","07","","Non-M/WBE"
"CT104020143052105","","3 BIDS-SERVICES","1","25000","25000","21375","PERFORMANCE DIAGNOSTICS AND SOLUTIONS LLC","No","N/A","Department of Education","REQUIREMENTS-SERVICES","SMALL PURCHASE - WRITTEN","PROF SERV CURRIC & PROF DEVEL","Not Classified","04/04/2014","06/30/2014","04/04/2014","22","","Non-M/WBE"
"CT104020143049418","","3 BIDS-SERVICES","1","25000","25000","10617.75","FIELD HOTEL ASSOCIATES HOLIDAY INN-JFK","No","N/A","Department of Education","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","NON OVERNIGHT TRVL EXP-GENERAL","Goods","04/03/2014","06/30/2014","04/03/2014","29","","Non-M/WBE"
"CT104020133044423","","FY14 GL441 WRITE DOWN","3","25000","25000","10000","MCGRAW-HILL COMPANIES INC","No","N/A","Department of Education","REQUIREMENTS-SERVICES","SMALL PURCHASE - WRITTEN","PROF SERV CURRIC & PROF DEVEL","Not Classified","07/08/2014","06/30/2015","04/05/2013","09","","Non-M/WBE"
"CT104020143009703","","SOLE VENDOR-COMMODITIES","1","25000","25000","20450","SCHOOL DATA CORP","No","N/A","Department of Education","SUPPLIES/MATERIALS/EQUIPMENT","SMALL PURCHASE - WRITTEN","DATA PROCESSING SUPPLIES","Goods","10/11/2013","06/30/2014","10/11/2013","08","","Non-M/WBE"
"CT104020133048196","","NEGOTIATED SERVICES-SERVICES","1","25000","25000","16000","RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK","No","N/A","Department of Education","REQUIREMENTS-SERVICES","SMALL PURCHASE - WRITTEN","PROF SERV OTHER","Not Classified","05/07/2013","06/30/2013","05/07/2013","40","","Non-M/WBE"
"CT104020143001361","","FMS INTEGRATION","2","25000","25000","17281.67","DCCA LLC. DORAL ARROWWOOD","No","N/A","Department of Education","REQUIREMENTS-SERVICES","SMALL PURCHASE - WRITTEN","PROF SERV CURRIC & PROF DEVEL","Not Classified","02/05/2014","06/30/2014","07/25/2013","16","","Non-M/WBE"
"CT104020143014621","","NEGOTIATED SERVICES-SERVICES","1","25000","25000","24650","THE MEDIA SPOT LLC","No","N/A","Department of Education","REQUIREMENTS-SERVICES","SMALL PURCHASE - WRITTEN","PROF SERV CURRIC & PROF DEVEL","Not Classified","11/06/2013","06/30/2014","11/06/2013","20","","Non-M/WBE"
"CT104020143012051","","NEGOTIATED SERVICES-SERVICES","1","25000","25000","12995","NEW MEDIA LEARNING LLC","No","N/A","Department of Education","REQUIREMENTS-SERVICES","SMALL PURCHASE - WRITTEN","PROF SERV OTHER","Not Classified","10/22/2013","06/30/2014","10/22/2013","42","","Non-M/WBE"
"CT104020143007597","","NEGOTIATED SERVICES-SERVICES","1","25000","25000","25000","IN OUR BEST INTEREST LLC","No","N/A","Department of Education","REQUIREMENTS-SERVICES","SMALL PURCHASE - WRITTEN","PROF SERV CURRIC & PROF DEVEL","Not Classified","10/01/2013","06/30/2014","10/01/2013","17","","Non-M/WBE"
